Cents,TOTAL (T),TOTAL Most Frequent,Western (W),Non-Western (NW),Instrumental (In),Vocal (Vo),T 95% CI,TMF 95% CI,W 95% CI,NW 95% CI,IN 95% CI,Vo 95% CI,T SE high,TMF SE high,W SE high,NW SE high,In SE high,Vo SE high,T SE low,TMF SE low,W SE low,NW SE low,In SE low,Vo SE low
63,0.24,0.24342,0.1975,0.192510204,0.118225,0.288880952,0.048247434,0.043520436,0.088231517,0.056379736,0.066722726,0.092241225,0.28824743,0.28694044,0.28573152,0.24888994,0.18494773,0.38112218,0.191753,0.19989956,0.10926848,0.13613047,0.05150227,0.19663973
66,0.207,0.21506,0.180884615,0.162826531,0.105775,0.23,0.037707812,0.031637404,0.079019643,0.042828047,0.044850741,0.064930827,0.24470781,0.2466974,0.25990426,0.20565458,0.15062574,0.29493083,0.169292,0.1834226,0.10186497,0.11999848,0.06092426,0.16506917
69,0.209,0.21219,0.178769231,0.165428571,0.10525,0.24452381,0.038836685,0.033874893,0.081285334,0.044138817,0.046845832,0.068851799,0.24783669,0.24606489,0.26005456,0.20956739,0.15209583,0.31337561,0.170163,0.17831511,0.0974839,0.12128975,0.05840417,0.17567201
72,0.19,0.20601,0.171307692,0.148387755,0.102425,0.211571429,0.034912317,0.032982866,0.06584869,0.040520233,0.045333601,0.058361332,0.22491232,0.23899287,0.23715638,0.18890799,0.1477586,0.26993276,0.155088,0.17302713,0.105459,0.10786752,0.0570914,0.1532101
75,0.198,0.20121,0.194269231,0.150489796,0.131275,0.220333333,0.039043041,0.034902265,0.066001507,0.046023075,0.071665879,0.065071029,0.23704304,0.23611227,0.26027074,0.19651287,0.20294088,0.28540436,0.158957,0.16630773,0.12826772,0.10446672,0.05960912,0.1552623
78,0.185,0.19062,0.167923077,0.144377551,0.108125,0.201333333,0.037275624,0.036736931,0.079910389,0.042077514,0.071771476,0.065120308,0.22227562,0.22735693,0.24783347,0.18645507,0.17989648,0.26645364,0.147724,0.15388307,0.08801269,0.10230004,0.03635352,0.13621302
81,0.179,0.19039,0.170961539,0.136826531,0.1016,0.212,0.034216605,0.033739628,0.06183271,0.039946515,0.049100533,0.065172235,0.21321661,0.22412963,0.23279425,0.17677305,0.15070053,0.27717223,0.144783,0.15665037,0.10912883,0.09688002,0.05249947,0.14682777
84,0.153,0.16214,0.139461539,0.119530612,0.094025,0.180785714,0.02914478,0.02932745,0.054240604,0.033905318,0.049545251,0.052682617,0.18214478,0.19146745,0.19370214,0.15343593,0.14357025,0.23346833,0.123855,0.13281255,0.08522094,0.08562529,0.04447975,0.1281031
87,0.161,0.18505,0.151769231,0.123826531,0.10385,0.177,0.030450729,0.033091852,0.051193237,0.035967163,0.055296822,0.052039632,0.19145073,0.21814185,0.20296247,0.15979369,0.15914682,0.22903963,0.130549,0.15195815,0.10057599,0.08785937,0.04855318,0.12496037
90,0.183,0.17968,0.145461539,0.147989796,0.13275,0.175785714,0.034448379,0.032839558,0.060060038,0.040570152,0.072882909,0.050622753,0.21744838,0.21251956,0.20552158,0.18855995,0.20563291,0.22640847,0.148552,0.14684044,0.0854015,0.10741964,0.05986709,0.12516296
93,0.161,0.16284,0.114769231,0.134163265,0.1262,0.146214286,0.035028897,0.032805159,0.04588692,0.04258127,0.078582991,0.042801121,0.1960289,0.19564516,0.16065615,0.17674454,0.20478299,0.18901541,0.125971,0.13003484,0.06888231,0.091582,0.04761701,0.10341317
96,0.164,0.17373,0.135038462,0.131285714,0.0904,0.177452381,0.036345678,0.037073783,0.053393756,0.043751014,0.073848277,0.054885047,0.20034568,0.21080378,0.18843222,0.17503673,0.16424828,0.23233743,0.127654,0.13665622,0.08164471,0.0875347,0.01655172,0.12256733
99,0.165,0.17609,0.128038462,0.134204082,0.082125,0.167976191,0.037562941,0.036132459,0.055868034,0.045154862,0.053043272,0.063822105,0.20256294,0.21222246,0.1839065,0.17935894,0.13516827,0.2317983,0.127437,0.13995754,0.07217043,0.08904922,0.02908173,0.10415409
102,0.158,0.17018,0.125846154,0.127816327,0.0754,0.178214286,0.037299072,0.037255725,0.048273319,0.045423424,0.052644967,0.060945471,0.19529907,0.20743573,0.17411947,0.17323975,0.12804497,0.23915976,0.120701,0.13292427,0.07757283,0.0823929,0.02275503,0.11726882
105,0.154,0.17066,0.1365,0.120602041,0.074675,0.17752381,0.03305192,0.03076369,0.07102113,0.037307744,0.046367382,0.062317606,0.18705192,0.20142369,0.20752113,0.15790979,0.12104238,0.23984142,0.120948,0.13989631,0.06547887,0.0832943,0.02830762,0.1152062
108,0.148,0.16795,0.106153846,0.122897959,0.0622,0.164761905,0.033899998,0.034320786,0.058242282,0.039985182,0.034860681,0.050105564,0.1819,0.20227079,0.16439613,0.16288314,0.09706068,0.21486747,0.1141,0.13362921,0.04791156,0.08291278,0.02733932,0.11465634
111,0.149,0.15483,0.119384615,0.120602041,0.07655,0.16102381,0.030752637,0.028162495,0.043653756,0.037147799,0.036336066,0.056137905,0.17975264,0.18299249,0.16303837,0.15774984,0.11288607,0.21716171,0.118247,0.12666751,0.07573086,0.08345424,0.04021393,0.10488591
114,0.148,0.17818,0.132230769,0.115734694,0.07235,0.175357143,0.031236897,0.032293711,0.053777327,0.036828908,0.037838697,0.059188009,0.1792369,0.21047371,0.1860081,0.1525636,0.1101887,0.23454515,0.116763,0.14588629,0.07845344,0.07890579,0.0345113,0.11616913
117,0.152,0.17073,0.130153846,0.120489796,0.070825,0.175380952,0.033115059,0.033954605,0.056699725,0.039097501,0.04423101,0.056678927,0.18511506,0.20468461,0.18685357,0.1595873,0.11505601,0.23205988,0.118885,0.13677539,0.07345412,0.08139229,0.02659399,0.11870202
120,0.164,0.17082,0.116846154,0.13627551,0.0791,0.176952381,0.036267992,0.036482981,0.059837693,0.043020626,0.045047329,0.062095781,0.20026799,0.20730298,0.17668385,0.17929614,0.12414733,0.23904816,0.127732,0.13433702,0.05700846,0.09325488,0.03405267,0.1148566
123,0.155,0.17878,0.106730769,0.13,0.08885,0.161333333,0.036973818,0.037371792,0.047256662,0.045022537,0.056651398,0.053214312,0.19197382,0.21615179,0.15398743,0.17502254,0.1455014,0.21454764,0.118026,0.14140821,0.05947411,0.08497746,0.0321986,0.10811902
126,0.149,0.17885,0.111,0.122306122,0.081375,0.171047619,0.031653095,0.033156579,0.059596008,0.036783512,0.048767418,0.060045003,0.1806531,0.21200658,0.17059601,0.15908963,0.13014242,0.23109262,0.117347,0.14569342,0.05140399,0.08552261,0.03260758,0.11100262
129,0.165,0.1958,0.135307692,0.132204082,0.08975,0.173952381,0.036437699,0.03798863,0.062806539,0.042987477,0.057591189,0.062182452,0.2014377,0.23378863,0.19811423,0.17519156,0.14734119,0.23613483,0.128562,0.15781137,0.07250115,0.08921661,0.03215881,0.11176993
132,0.168,0.18251,0.117,0.140142857,0.082825,0.180547619,0.042218951,0.04183606,0.066081657,0.050417426,0.05051688,0.062672142,0.21021895,0.22434606,0.18308166,0.19056028,0.13334188,0.24321976,0.125781,0.14067394,0.05091834,0.08972543,0.03230812,0.11787548
135,0.181,0.19617,0.136807692,0.14855102,0.08895,0.199785714,0.043455911,0.042982686,0.073793262,0.051370514,0.047715583,0.067908532,0.22445591,0.23915269,0.21060095,0.19992153,0.13666558,0.26769425,0.137544,0.15318731,0.06301443,0.09718051,0.04123442,0.13187718
138,0.184,0.22616,0.144423077,0.149612245,0.0911,0.197214286,0.04966989,0.051118465,0.072771903,0.059806753,0.057316714,0.067123363,0.23366989,0.27727846,0.21719498,0.209419,0.14841671,0.26433765,0.13433,0.17504154,0.07165117,0.08980549,0.03378329,0.13009092
141,0.188,0.22959,0.135,0.155734694,0.102025,0.201642857,0.046220447,0.048993915,0.059397337,0.056288539,0.056150173,0.071846143,0.23422045,0.27858391,0.19439734,0.21202323,0.15817517,0.273489,0.14178,0.18059609,0.07560266,0.09944615,0.04587483,0.12979671
144,0.204,0.24242,0.139923077,0.171387755,0.11885,0.231,0.04652098,0.051443225,0.067022131,0.056040797,0.056759919,0.085891949,0.25052098,0.29386323,0.20694521,0.22742855,0.17560992,0.31689195,0.157479,0.19097677,0.07290095,0.11534696,0.06209008,0.14510805
147,0.22,0.26027,0.171846154,0.178581633,0.141425,0.2365,0.051363695,0.053346678,0.078507327,0.061559772,0.077320941,0.089597381,0.27136369,0.31361668,0.25035348,0.24014141,0.21874594,0.32609738,0.168636,0.20692332,0.09333883,0.11702186,0.06410406,0.14690262
150,0.24,0.25344,0.146,0.2065,0.14695,0.277333333,0.053418849,0.053095731,0.065718611,0.065072933,0.0790059,0.117360157,0.29341885,0.30653573,0.21171861,0.27157293,0.2259559,0.39469349,0.186581,0.20034427,0.08028139,0.14142707,0.0679441,0.15997318
153,0.237,0.26419,0.2205,0.18327551,0.175575,0.250285714,0.047041761,0.046841402,0.097408898,0.053512958,0.092531123,0.080078349,0.28404176,0.3110314,0.3179089,0.23678847,0.26810612,0.33036406,0.189958,0.2173486,0.1230911,0.12976255,0.08304388,0.17020737
156,0.268,0.28331,0.198538462,0.220642857,0.18495,0.280071429,0.053866163,0.052581207,0.086946749,0.064103636,0.092835435,0.096761089,0.32186616,0.33589121,0.28548521,0.28474649,0.27778544,0.37683252,0.214134,0.23072879,0.11159171,0.15653922,0.09211456,0.18331034
159,0.265,0.28,0.202923077,0.21655102,0.203225,0.284595238,0.05321503,0.044741302,0.088613256,0.063083628,0.121272525,0.08443887,0.31821503,0.3247413,0.29153633,0.27963465,0.32449753,0.36903411,0.211785,0.2352587,0.11430982,0.15346739,0.08195248,0.20015637
162,0.275,0.29606,0.233076923,0.21855102,0.2472,0.275595238,0.060834747,0.049937946,0.09800017,0.072438587,0.15351052,0.085833868,0.33583475,0.34599795,0.33107709,0.29098961,0.40071052,0.36142911,0.214165,0.24612205,0.13507675,0.14611243,0.09368948,0.18976137
165,0.286,0.31219,0.224923077,0.231887755,0.2439,0.278214286,0.06090382,0.055589353,0.099740765,0.072373481,0.144345015,0.094250275,0.34690382,0.36777935,0.32466384,0.30426124,0.38824501,0.37246456,0.225096,0.25660065,0.12518231,0.15951427,0.09955499,0.18396401
168,0.296,0.33565,0.249230769,0.236377551,0.265275,0.292333333,0.066578985,0.059399844,0.121198925,0.077856013,0.154400003,0.109906384,0.36257899,0.39504984,0.37042969,0.31423356,0.419675,0.40223972,0.229421,0.27625016,0.12803184,0.15852154,0.110875,0.18242695
171,0.325,0.33532,0.251576923,0.265418367,0.2822,0.307976191,0.078278236,0.061960752,0.115320436,0.094193706,0.186466192,0.108506402,0.40327824,0.39728075,0.36689736,0.35961207,0.46866619,0.41648259,0.246722,0.27335925,0.13625649,0.17122466,0.09573381,0.19946979
174,0.339,0.38613,0.297923077,0.267306122,0.30065,0.327261905,0.072715255,0.072649857,0.126466716,0.08562611,0.171708313,0.112017053,0.41171526,0.45877986,0.42438979,0.35293223,0.47235831,0.43927896,0.266285,0.31348014,0.17145636,0.18168001,0.12894169,0.21524485
177,0.364,0.43796,0.255269231,0.303683674,0.33845,0.314309524,0.074773055,0.079261773,0.122964974,0.088699802,0.175465079,0.117387428,0.43877306,0.51722177,0.37823421,0.39238348,0.51391508,0.43169695,0.289227,0.35869823,0.13230426,0.21498387,0.16298492,0.1969221
180,0.355,0.39818,0.264615385,0.291622449,0.342925,0.2975,0.076161653,0.074484023,0.107094032,0.092051492,0.182858827,0.104073703,0.43116165,0.47266402,0.37170942,0.38367394,0.52578383,0.4015737,0.278838,0.32369598,0.15752135,0.19957096,0.16006617,0.1934263
183,0.417,0.44663,0.350538462,0.332489796,0.400175,0.337761905,0.08308502,0.077016713,0.117480543,0.100388008,0.19415279,0.101291498,0.50008502,0.52364671,0.46801901,0.4328778,0.59432779,0.4390534,0.333915,0.36961329,0.23305792,0.23210179,0.20602221,0.23647041
186,0.432,0.47087,0.296884615,0.361877551,0.457425,0.333238095,0.083146159,0.082022345,0.118874742,0.100193749,0.212927671,0.098793891,0.51514616,0.55289235,0.41575936,0.4620713,0.67035267,0.43203199,0.348854,0.38884765,0.17800987,0.2616838,0.24449733,0.2344442
189,0.444,0.45967,0.361538462,0.356846939,0.444175,0.3445,0.082988368,0.080706047,0.136622974,0.09855037,0.202754598,0.102580196,0.52698837,0.54037605,0.49816144,0.45539731,0.6469296,0.4470802,0.361012,0.37896395,0.22491549,0.25829657,0.2414204,0.2419198
192,0.447,0.47192,0.423230769,0.344020408,0.46045,0.357333333,0.084407519,0.082500291,0.192447734,0.093531188,0.191112249,0.133796217,0.53140752,0.55442029,0.6156785,0.4375516,0.65156225,0.49112955,0.362592,0.38941971,0.23078304,0.25048922,0.26933775,0.22353712
195,0.476,0.46932,0.479076923,0.359061225,0.50835,0.373214286,0.089068077,0.07899675,0.223559859,0.095208436,0.197123334,0.144095189,0.56506808,0.54831675,0.70263678,0.45426966,0.70547333,0.51730948,0.386932,0.39032325,0.25551706,0.26385279,0.31122667,0.2291191
198,0.467,0.46942,0.468653846,0.35172449,0.4823,0.37502381,0.085349948,0.075058783,0.223794996,0.089582314,0.190817478,0.1347826,0.55234995,0.54447878,0.69244884,0.4413068,0.67311748,0.50980641,0.38165,0.39436122,0.24485885,0.26214218,0.29148252,0.24024121
201,0.456,0.44947,0.517692308,0.327561225,0.516325,0.351619048,0.104031518,0.081803924,0.295532725,0.104317684,0.243142536,0.170720788,0.56003152,0.53127392,0.81322503,0.43187891,0.75946754,0.52233984,0.351968,0.36766608,0.22215958,0.22324354,0.27318246,0.18089826
204,0.447,0.43588,0.496192308,0.324459184,0.557075,0.303738095,0.114508179,0.087648031,0.262449371,0.126102495,0.313897093,0.098699152,0.56150818,0.52352803,0.75864168,0.45056168,0.87097209,0.40243725,0.332492,0.34823197,0.23374294,0.19835669,0.24317791,0.20503894
207,0.421,0.45153,0.525615385,0.289673469,0.495525,0.285095238,0.089463027,0.091779819,0.277203368,0.083352086,0.21735123,0.114001305,0.51046303,0.54330982,0.80281875,0.37302555,0.71287623,0.39909654,0.331537,0.35975018,0.24841202,0.20632138,0.27817377,0.17109393
210,0.326,0.35509,0.374807692,0.232785714,0.345475,0.246071429,0.06536817,0.06910185,0.19006906,0.06428414,0.149616812,0.091819448,0.39136817,0.42419185,0.56487675,0.29706985,0.49509181,0.33789088,0.260632,0.28598815,0.18473863,0.16850157,0.19585819,0.15425198
213,0.283,0.31936,0.306807692,0.207326531,0.24765,0.241595238,0.054780452,0.057996936,0.127321916,0.059850258,0.101590166,0.085805955,0.33778045,0.37735694,0.43412961,0.26717679,0.34924017,0.32740119,0.22822,0.26136306,0.17948578,0.14747627,0.14605983,0.15578928
216,0.257,0.27699,0.242307692,0.19844898,0.20275,0.223047619,0.055506012,0.056070789,0.116878529,0.062890413,0.111317383,0.090481383,0.31250601,0.33306079,0.35918622,0.26133939,0.31406738,0.313529,0.201494,0.22091921,0.12542916,0.13555857,0.09143262,0.13256624
219,0.235,0.25203,0.210269231,0.183540816,0.1719,0.210404762,0.04495328,0.044018128,0.088495538,0.051751214,0.077733363,0.068191803,0.27995328,0.29604813,0.29876477,0.23529203,0.24963336,0.27859657,0.190047,0.20801187,0.12177369,0.1317896,0.09416664,0.14221296
222,0.24,0.24987,0.195230769,0.192673469,0.146025,0.241142857,0.045516001,0.046115715,0.090205705,0.052383209,0.069517704,0.088202335,0.285516,0.29598571,0.28543647,0.24505668,0.2155427,0.32934519,0.194484,0.20375429,0.10502506,0.14029026,0.0765073,0.15294052
225,0.215,0.23341,0.170461539,0.174061225,0.134275,0.219095238,0.038918464,0.042372663,0.079811571,0.044457655,0.061430172,0.075545732,0.25391846,0.27578266,0.25027311,0.21851888,0.19570517,0.29464097,0.176082,0.19103734,0.09064997,0.12960357,0.07284483,0.14354951
228,0.207,0.19226,0.173807692,0.165132653,0.1248,0.197928571,0.04566989,0.031488657,0.08299343,0.053421222,0.064609513,0.078359723,0.25266989,0.22374866,0.25680112,0.21855387,0.18940951,0.27628829,0.16133,0.16077134,0.09081426,0.11171143,0.06019049,0.11956885
231,0.199,0.20814,0.144192308,0.164612245,0.11615,0.20502381,0.041439619,0.036440272,0.061863081,0.049764458,0.058751411,0.085822664,0.24043962,0.24458027,0.20605539,0.2143767,0.17490141,0.29084647,0.15756,0.17169973,0.08232923,0.11484779,0.05739859,0.11920115
234,0.187,0.17662,0.1275,0.156826531,0.094675,0.199547619,0.038865622,0.030320754,0.053689752,0.046993634,0.054184801,0.079202564,0.22586562,0.20694075,0.18118975,0.20382016,0.1488598,0.27875018,0.148134,0.14629925,0.07381025,0.1098329,0.0404902,0.12034505
237,0.183,0.18803,0.147884615,0.147112245,0.096825,0.173880952,0.037487434,0.033228475,0.048459507,0.045657419,0.056676201,0.066839316,0.22048743,0.22125848,0.19634412,0.19276966,0.1535012,0.24072027,0.145513,0.15480152,0.09942511,0.10145483,0.0401488,0.10704164
240,0.163,0.17718,0.122423077,0.133979592,0.08515,0.180809524,0.033690259,0.031393759,0.050413562,0.040462318,0.041079921,0.074807998,0.19669026,0.20857376,0.17283664,0.17444191,0.12622992,0.25561752,0.12931,0.14578624,0.07200951,0.09351727,0.04407008,0.10600153
243,0.158,0.16349,0.112076923,0.131295918,0.070475,0.18352381,0.03165283,0.028790141,0.044711774,0.03821379,0.031103075,0.064488411,0.18965283,0.19228014,0.1567887,0.16950971,0.10157807,0.24801222,0.126347,0.13469986,0.06736515,0.09308213,0.03937193,0.1190354
246,0.179,0.18873,0.133730769,0.146918367,0.08485,0.192547619,0.03627747,0.036902108,0.055696688,0.043442188,0.042403806,0.070406104,0.21527747,0.22563211,0.18942746,0.19036056,0.12725381,0.26295372,0.142723,0.15182789,0.07803408,0.10347618,0.04244619,0.12214152
249,0.157,0.15982,0.144461539,0.121785714,0.085325,0.165380952,0.03153368,0.030605742,0.066562031,0.035719924,0.04648013,0.054989928,0.18853368,0.19042574,0.21102357,0.15750564,0.13180513,0.22037088,0.125466,0.12921426,0.07789951,0.08606579,0.03884487,0.11039102
252,0.169,0.16712,0.121692308,0.140091837,0.0827,0.172357143,0.032028451,0.029928694,0.048495078,0.038393,0.042579573,0.062330311,0.20102845,0.19704869,0.17018739,0.17848484,0.12527957,0.23468745,0.136972,0.13719131,0.07319723,0.10169884,0.04012043,0.11002683
255,0.183,0.18325,0.145269231,0.147683674,0.101825,0.167690476,0.037999729,0.037345438,0.052230339,0.046040692,0.051463013,0.064306615,0.22099973,0.22059544,0.19749957,0.19372437,0.15328801,0.23199709,0.145,0.14590456,0.09303889,0.10164298,0.05036199,0.10338386
258,0.176,0.17264,0.135230769,0.143612245,0.10635,0.151119048,0.037694968,0.037028785,0.069849475,0.043941822,0.059812506,0.064048813,0.21369497,0.20966879,0.20508024,0.18755407,0.16616251,0.21516786,0.138305,0.13561121,0.06538129,0.09967042,0.04653749,0.08707024
261,0.201,0.19394,0.170692308,0.159693878,0.1186,0.17452381,0.045107237,0.046162939,0.085017656,0.052418893,0.067955521,0.075934833,0.24610724,0.24010294,0.25570996,0.21211277,0.18655552,0.25045864,0.155893,0.14777706,0.08567465,0.10727499,0.05064448,0.09858898
264,0.206,0.18618,0.190384615,0.159989796,0.139925,0.16302381,0.04615713,0.039550541,0.118076571,0.049213409,0.101854215,0.055132178,0.25215713,0.22573054,0.30846119,0.2092032,0.24177921,0.21815599,0.159843,0.14662946,0.07230804,0.11077639,0.03807079,0.10789163
267,0.192,0.18005,0.179153846,0.148122449,0.145875,0.160238095,0.044116123,0.041454498,0.124405936,0.044929155,0.095336075,0.072859799,0.23611612,0.2215045,0.30355978,0.1930516,0.24121107,0.23309789,0.147884,0.1385955,0.05474791,0.10319329,0.05053893,0.0873783
270,0.203,0.19957,0.185769231,0.157632653,0.135375,0.164595238,0.043920844,0.042557378,0.10693128,0.047718511,0.083574831,0.071741893,0.24692084,0.24212738,0.29270051,0.20535116,0.21894983,0.23633713,0.159079,0.15701262,0.07883795,0.10991414,0.05180017,0.09285334
273,0.224,0.20375,0.185576923,0.178836735,0.17245,0.158738095,0.046734113,0.044149154,0.11972198,0.049874312,0.091015517,0.064292342,0.27073411,0.24789915,0.3052989,0.22871105,0.26346552,0.22303044,0.177266,0.15960085,0.06585494,0.12896242,0.08143448,0.09444575
276,0.221,0.20161,0.191615385,0.174663265,0.183475,0.162,0.050603582,0.045834463,0.105228935,0.057601611,0.10100009,0.075018144,0.27160358,0.24744446,0.29684432,0.23226488,0.28447509,0.23701814,0.170396,0.15577554,0.08638645,0.11706165,0.08247491,0.08698186
279,0.256,0.21027,0.210807692,0.205061225,0.214875,0.174357143,0.046434099,0.039701264,0.115573836,0.050114859,0.102672135,0.059943032,0.3024341,0.24997126,0.32638153,0.25517608,0.31754714,0.23430017,0.209566,0.17056874,0.09523386,0.15494637,0.11220286,0.11441411
282,0.263,0.20936,0.190115385,0.217816327,0.22175,0.170404762,0.050016631,0.043301639,0.098454231,0.057589703,0.10894261,0.069160663,0.31301663,0.25266164,0.28856962,0.27540603,0.33069261,0.23956543,0.212983,0.16605836,0.09166115,0.16022662,0.11280739,0.1012441
285,0.272,0.23017,0.216384615,0.220040816,0.229225,0.171976191,0.053459907,0.045977836,0.118226588,0.059930332,0.114826238,0.065755386,0.32545991,0.27614784,0.3346112,0.27997115,0.34405124,0.23773158,0.21854,0.18419216,0.09815803,0.16011048,0.11439876,0.1062208
288,0.279,0.21884,0.186961539,0.235438776,0.243675,0.161738095,0.055855417,0.044135374,0.117512622,0.063273477,0.132604763,0.060996352,0.33485542,0.26297537,0.30447416,0.29871225,0.37627976,0.22273445,0.223145,0.17470463,0.06944892,0.1721653,0.11107024,0.10074174
291,0.299,0.24177,0.202384615,0.251142857,0.24045,0.144928571,0.063426119,0.05200097,0.129503006,0.072392049,0.131125098,0.066385409,0.36242612,0.29377097,0.33188762,0.32353491,0.3715751,0.21131398,0.235574,0.18976903,0.07288161,0.17875081,0.1093249,0.07854316
294,0.307,0.25209,0.191730769,0.261938776,0.245125,0.158166667,0.061300984,0.051780765,0.136689981,0.068268668,0.114859119,0.078125099,0.36830098,0.30387076,0.32842075,0.33020744,0.35998412,0.23629177,0.245699,0.20030924,0.05504079,0.19367011,0.13026588,0.08004157
297,0.319,0.2755,0.212961539,0.268846939,0.243525,0.156928571,0.058795729,0.053666126,0.124342735,0.066487733,0.100778813,0.066063401,0.37779573,0.32916613,0.33730427,0.33533467,0.34430381,0.22299197,0.260204,0.22183387,0.0886188,0.20235921,0.14274619,0.09086517
300,0.374,0.31253,0.213423077,0.324642857,0.268025,0.183119048,0.076584839,0.06648736,0.143880783,0.088495393,0.123621173,0.083598099,0.45058484,0.37901736,0.35730386,0.41313825,0.39164617,0.26671715,0.297415,0.24604264,0.06954229,0.23614746,0.14440383,0.09952095
303,0.349,0.30364,0.223230769,0.296591837,0.274525,0.198404762,0.071566535,0.059152813,0.121561768,0.084353911,0.128464469,0.078914811,0.42056653,0.36279281,0.34479254,0.38094575,0.40298947,0.27731957,0.277433,0.24448719,0.101669,0.21223793,0.14606053,0.11948995
306,0.341,0.28447,0.218807692,0.290020408,0.2825,0.163190476,0.073648967,0.059488706,0.143873312,0.084766899,0.133180594,0.061140074,0.41464897,0.34395871,0.362681,0.37478731,0.41568059,0.22433055,0.267351,0.22498129,0.07493438,0.20525351,0.14931941,0.1020504
309,0.372,0.31723,0.237115385,0.316438776,0.2653,0.179476191,0.092068817,0.080778764,0.174333743,0.106677987,0.13575956,0.076926691,0.46406882,0.39800876,0.41144913,0.42311676,0.40105956,0.25640288,0.279931,0.23645124,0.06278164,0.20976079,0.12954044,0.1025495
312,0.361,0.28403,0.207076923,0.313173469,0.2684,0.148142857,0.088751888,0.075505326,0.138917869,0.105641098,0.116965203,0.060995193,0.44975189,0.35953533,0.34599479,0.41881457,0.3853652,0.20913805,0.272248,0.20852467,0.06815905,0.20753237,0.1514348,0.08714766
315,0.299,0.27208,0.201384615,0.251214286,0.24455,0.132976191,0.061529358,0.056658279,0.139493444,0.068345652,0.11000955,0.057282739,0.36052936,0.32873828,0.34087806,0.31955994,0.35455955,0.19025893,0.237471,0.21542172,0.06189117,0.18286863,0.13454045,0.07569345
318,0.301,0.26189,0.18,0.259367347,0.237575,0.137095238,0.058629201,0.050516379,0.107031341,0.068155243,0.103642052,0.058085391,0.3596292,0.31240638,0.28703134,0.32752259,0.34121705,0.19518063,0.242371,0.21137362,0.07296866,0.1912121,0.13393295,0.07900985
321,0.27,0.24171,0.154307692,0.2345,0.23615,0.130833333,0.051098659,0.049470874,0.081630628,0.060485035,0.107807162,0.050693316,0.32109866,0.29118087,0.23593832,0.29498503,0.34395716,0.18152665,0.218901,0.19223913,0.07267706,0.17401497,0.12834284,0.08014002
324,0.266,0.2238,0.163346154,0.228418367,0.213375,0.149547619,0.049712835,0.039971734,0.097414772,0.05704298,0.106316195,0.060098231,0.31571283,0.26377173,0.26076093,0.28546135,0.3196912,0.20964585,0.216287,0.18382827,0.06593138,0.17137539,0.1070588,0.08944939
327,0.262,0.21756,0.169038462,0.222693878,0.215975,0.152190476,0.048145758,0.041122259,0.084981601,0.056383937,0.096295896,0.058311087,0.31014576,0.25868226,0.25402006,0.27907781,0.3122709,0.21050156,0.213854,0.17643774,0.08405686,0.16630994,0.1196791,0.09387939
330,0.261,0.21277,0.148576923,0.227112245,0.2086,0.161619048,0.049085424,0.039469006,0.079093169,0.058020644,0.100950175,0.060583541,0.31008542,0.25223901,0.22767009,0.28513289,0.30955018,0.22220259,0.211915,0.17330099,0.06948375,0.1690916,0.10764982,0.10103551
333,0.234,0.1968,0.111769231,0.209183674,0.182875,0.126976191,0.045863178,0.038448708,0.051057183,0.055732449,0.087767226,0.047430761,0.27986318,0.23524871,0.16282641,0.26491612,0.27064223,0.17440695,0.188137,0.15835129,0.06071205,0.15345122,0.09510777,0.07954543
336,0.25,0.20469,0.122423077,0.223010204,0.171725,0.156928571,0.046719505,0.037752583,0.054296307,0.056602576,0.073571113,0.054029215,0.29671951,0.24244258,0.17671938,0.27961278,0.24529611,0.21095779,0.20328,0.16693742,0.06812677,0.16640763,0.09815389,0.10289936
339,0.241,0.18436,0.132961539,0.210714286,0.157325,0.14152381,0.051246457,0.033715212,0.051764643,0.062978136,0.074341652,0.046220794,0.29224646,0.21807521,0.18472618,0.27369242,0.23166665,0.1877446,0.189754,0.15064479,0.0811969,0.14773615,0.08298335,0.09530302
342,0.245,0.19312,0.113961539,0.219561225,0.20065,0.128142857,0.051011762,0.038533801,0.049440985,0.062469263,0.097596771,0.043747932,0.29601176,0.2316538,0.16340252,0.28203049,0.29824677,0.17189079,0.193988,0.1545862,0.06452055,0.15709196,0.10305323,0.08439493
345,0.251,0.22013,0.123115385,0.223846939,0.235325,0.160571429,0.052495667,0.047904499,0.048755413,0.064508209,0.120902024,0.064585862,0.30349567,0.2680345,0.1718708,0.28835515,0.35622702,0.22515729,0.198504,0.1722255,0.07435997,0.15933873,0.11442298,0.09598557
348,0.256,0.20017,0.1405,0.224,0.24405,0.161357143,0.054634238,0.047477107,0.054899697,0.067151846,0.139884641,0.051426532,0.31063424,0.24764711,0.1953997,0.29115185,0.38393464,0.21278368,0.201366,0.15269289,0.0856003,0.15684815,0.10416536,0.10993061
351,0.27,0.22328,0.123884615,0.242683674,0.29255,0.130261905,0.075957744,0.071371488,0.052862015,0.094469054,0.212089185,0.048599163,0.34595774,0.29465149,0.17674663,0.33715273,0.50463919,0.17886107,0.194042,0.15190851,0.0710226,0.14821462,0.08046082,0.08166274
354,0.292,0.22868,0.161653846,0.254816327,0.31325,0.163547619,0.084349848,0.075722535,0.067297982,0.104884811,0.232875785,0.054773834,0.37634985,0.30440253,0.22895183,0.35970114,0.54612579,0.21832145,0.20765,0.15295747,0.09435586,0.14993152,0.08037421,0.10877379
