Cents,TOTAL (T),TOTAL Most Frequent,Western (W),Non-Western (NW),Instrumental (In),Vocal (Vo),T 95% CI,TMF 95% CI,W 95% CI,NW 95% CI,IN 95% CI,Vo 95% CI,T SE high,TMF SE high,W SE high,NW SE high,In SE high,Vo SE high,T SE low,TMF SE low,W SE low,NW SE low,In SE low,Vo SE low
1077,0.174,0.20148,0.148115385,0.138530612,0.176375,0.133928571,0.046080789,0.049950115,0.050785774,0.056721489,0.127440488,0.044127098,0.22008079,0.25143012,0.19890116,0.1952521,0.30381549,0.17805567,0.127919,0.15152988,0.09732961,0.08180912,0.04893451,0.08980147
1080,0.172,0.18701,0.152153846,0.134765306,0.174,0.134261905,0.042602724,0.045734168,0.052419113,0.052056783,0.116634679,0.04197023,0.21460272,0.23274417,0.20457296,0.18682209,0.29063468,0.17623213,0.129397,0.14127583,0.09973473,0.08270852,0.05736532,0.09229168
1083,0.162,0.177,0.137653846,0.128908163,0.139975,0.1445,0.033329213,0.036325233,0.047352454,0.040249145,0.081751489,0.042080307,0.19532921,0.21332523,0.1850063,0.16915731,0.22172649,0.18658031,0.128671,0.14067477,0.09030139,0.08865902,0.05822351,0.10241969
1086,0.153,0.17112,0.138461539,0.119622449,0.1258,0.141285714,0.037003995,0.039522501,0.056195399,0.044351401,0.093743344,0.04675652,0.19000399,0.2106425,0.19465694,0.16397385,0.21954334,0.18804223,0.115996,0.1315975,0.08226614,0.07527105,0.03205666,0.09452919
1089,0.155,0.1669,0.140076923,0.120836735,0.144825,0.124214286,0.037917012,0.038969716,0.046484861,0.046331611,0.102436932,0.033196801,0.19291701,0.20586972,0.18656178,0.16716835,0.24726193,0.15741109,0.117083,0.12793028,0.09359206,0.07450512,0.04238807,0.09101749
1092,0.16,0.18155,0.170692308,0.118071429,0.15975,0.142785714,0.040237556,0.04432402,0.065632755,0.04760412,0.104843232,0.046885187,0.20023756,0.22587402,0.23632506,0.16567555,0.26459323,0.1896709,0.119762,0.13722598,0.10505955,0.07046731,0.05490677,0.09590053
1095,0.18,0.19642,0.209615385,0.128102041,0.18545,0.148404762,0.043146313,0.04440904,0.091389729,0.048352187,0.114499569,0.049480403,0.22314631,0.24082904,0.30100511,0.17645423,0.29994957,0.19788517,0.136854,0.15201096,0.11822566,0.07974985,0.07095043,0.09892436
1098,0.163,0.18351,0.188307692,0.116653061,0.1578,0.147047619,0.034966855,0.035523181,0.05865415,0.040904231,0.085973071,0.046551395,0.19796685,0.21903318,0.24696184,0.15755729,0.24377307,0.19359901,0.128033,0.14798682,0.12965354,0.07574883,0.07182693,0.10049622
1101,0.181,0.19644,0.224423077,0.125346939,0.189475,0.157738095,0.044951634,0.04778836,0.138665904,0.042437635,0.125184116,0.042210719,0.22595163,0.24422836,0.36308898,0.16778457,0.31465912,0.19994881,0.136048,0.14865164,0.08575717,0.0829093,0.06429088,0.11552738
1104,0.175,0.19024,0.225153846,0.118673469,0.188475,0.144476191,0.042545125,0.042965792,0.139833755,0.037794717,0.116767339,0.041549702,0.21754513,0.23320579,0.3649876,0.15646819,0.30524234,0.18602589,0.132455,0.14727421,0.08532009,0.08087875,0.07170766,0.10292649
1107,0.166,0.19966,0.249384615,0.103469388,0.149525,0.156714286,0.036039457,0.040208043,0.120978572,0.029568053,0.08988299,0.047728356,0.20203946,0.23986804,0.37036319,0.13303744,0.23940799,0.20444264,0.129961,0.15945196,0.12840604,0.07390133,0.05964201,0.10898593
1110,0.155,0.16536,0.198423077,0.105234694,0.116375,0.162976191,0.029273897,0.030510234,0.070053944,0.0309061,0.06503497,0.048442135,0.1842739,0.19587023,0.26847702,0.13614079,0.18140997,0.21141833,0.125726,0.13484977,0.12836913,0.07432859,0.05134003,0.11453406
1113,0.15,0.17227,0.161307692,0.1105,0.09145,0.171476191,0.026893683,0.030174874,0.060528896,0.029645509,0.045234243,0.052036503,0.17689368,0.20244487,0.22183659,0.14014551,0.13668424,0.22351269,0.123106,0.14209513,0.1007788,0.08085449,0.04621576,0.11943969
1116,0.162,0.17452,0.212576923,0.109061225,0.1101,0.181285714,0.029172177,0.029538648,0.081155883,0.028474744,0.058204897,0.053519253,0.19117218,0.20405865,0.29373281,0.13753597,0.1683049,0.23480497,0.132828,0.14498135,0.13142104,0.08058648,0.0518951,0.12776646
